[GIN] 2026/02/20 - 18:06:51 | 204 |      13.291µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:51 | 404 |        2.75µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:51 | 404 |       1.458µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:07:10 | 204 |    1.918458ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:10 | 204 |    1.902791ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:10 | 200 |  309.157875ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:10 | 200 |    1.909084ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:33 | 204 |    5.848125ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:33 | 204 |    5.854042ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:34 | 200 |  758.450334ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:34 | 200 |    4.255708ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:07:34 | 304 |    7.507334ms |             ::1 | GET      "/uploads/1771597601983343000_receipt-1771152745899.png"
[GIN] 2026/02/20 - 18:10:35 | 204 |    3.695417ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:10:35 | 204 |     3.14275ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:10:35 | 404 |       6.167µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:10:35 | 404 |         1.5µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:10:36 | 204 |      13.042µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:10:36 | 204 |       5.791µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:10:36 | 200 |   52.876042ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:10:36 | 200 |    1.071916ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:10:37 | 404 |       2.792µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:10:37 | 404 |       2.959µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:37 | 204 |   17.968875ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:37 | 204 |   15.372208ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:38 | 200 |   77.544459ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:38 | 200 |    5.765042ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:38 | 304 |    8.539542ms |             ::1 | GET      "/uploads/1771597601983343000_receipt-1771152745899.png"
[GIN] 2026/02/20 - 20:19:40 | 204 |        23.5µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:40 | 204 |       4.667µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:40 | 404 |       2.458µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:40 | 404 |       1.917µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:49 | 204 |      11.709µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:49 | 204 |      19.916µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:49 | 200 |    5.845875ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:49 | 200 |    2.666167ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:50 | 204 |       32.75µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:50 | 204 |       4.709µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:50 | 404 |       9.833µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:50 | 404 |       1.542µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:19:51 | 200 |       2.203ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:19:51 | 200 |    1.415708ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:20:11 | 204 |      33.292µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:20:11 | 204 |        7.25µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:20:11 | 404 |       3.958µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:20:11 | 404 |       1.833µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:23:49 | 204 |   15.289708ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:23:49 | 204 |   15.275167ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:23:49 | 404 |       2.584µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:23:49 | 404 |       1.833µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:44 | 204 |    4.064208ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:44 | 204 |    5.013917ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:44 | 404 |       2.583µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:44 | 404 |     673.541µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:46 | 404 |     171.041µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:26:46 | 404 |       9.333µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:02 | 204 |       8.042µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:02 | 204 |    2.000084ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:02 | 404 |       2.917µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:02 | 404 |      10.333µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:15 | 204 |     619.292µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:15 | 204 |     569.209µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:15 | 404 |        2.25µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:15 | 404 |      43.708µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:17 | 204 |      22.375µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:17 | 204 |      11.416µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:17 | 404 |       4.083µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:17 | 404 |       1.458µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:20 | 204 |      13.459µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:20 | 204 |      15.083µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:21 | 200 |   69.324333ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:21 | 200 |     868.125µs |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:29 | 204 |      27.125µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:29 | 204 |       8.667µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:29 | 404 |       3.667µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:29 | 404 |       1.959µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 20:28:32 | 204 |       15.25µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:32 | 204 |       7.959µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 20:28:32 | 200 |    5.521042ms |             ::1 | GET      "/api/admin/story-groups"
